Vehicle,Soc (%),K W,max power,battery capacity (kWh)
2022 Ford Mustang Mach E GT,0,119,130,91
2022 Ford Mustang Mach E GT,2,122,130,91
2022 Ford Mustang Mach E GT,4,127,130,91
2022 Ford Mustang Mach E GT,7,126,130,91
2022 Ford Mustang Mach E GT,9,126,130,91
2022 Ford Mustang Mach E GT,11,126,130,91
2022 Ford Mustang Mach E GT,14,126,130,91
2022 Ford Mustang Mach E GT,16,126,130,91
2022 Ford Mustang Mach E GT,18,126,130,91
2022 Ford Mustang Mach E GT,20,126,130,91
2022 Ford Mustang Mach E GT,23,127,130,91
2022 Ford Mustang Mach E GT,26,127,130,91
2022 Ford Mustang Mach E GT,29,126,130,91
2022 Ford Mustang Mach E GT,32,124,130,91
2022 Ford Mustang Mach E GT,35,121,130,91
2022 Ford Mustang Mach E GT,37,117,130,91
2022 Ford Mustang Mach E GT,39,113,130,91
2022 Ford Mustang Mach E GT,42,108,130,91
2022 Ford Mustang Mach E GT,44,105,130,91
2022 Ford Mustang Mach E GT,46,102,130,91
2022 Ford Mustang Mach E GT,48,97,130,91
2022 Ford Mustang Mach E GT,50,94,130,91
2022 Ford Mustang Mach E GT,52,93,130,91
2022 Ford Mustang Mach E GT,54,85,130,91
2022 Ford Mustang Mach E GT,56,87,130,91
2022 Ford Mustang Mach E GT,58,84,130,91
2022 Ford Mustang Mach E GT,60,83,130,91
2022 Ford Mustang Mach E GT,61,77,130,91
2022 Ford Mustang Mach E GT,63,74,130,91
2022 Ford Mustang Mach E GT,65,72,130,91
2022 Ford Mustang Mach E GT,66,70,130,91
2022 Ford Mustang Mach E GT,68,67,130,91
2022 Ford Mustang Mach E GT,69,65,130,91
2022 Ford Mustang Mach E GT,70,64,130,91
2022 Ford Mustang Mach E GT,72,65,130,91
2022 Ford Mustang Mach E GT,73,65,130,91
2022 Ford Mustang Mach E GT,74,64,130,91
2022 Ford Mustang Mach E GT,76,64,130,91
2022 Ford Mustang Mach E GT,77,65,130,91
2022 Ford Mustang Mach E GT,78,65,130,91
2022 Ford Mustang Mach E GT,80,65,130,91
2022 Ford Mustang Mach E GT,81,66,130,91
2022 Ford Mustang Mach E GT,82,61,130,91
2022 Ford Mustang Mach E GT,83,55,130,91
2022 Ford Mustang Mach E GT,85,50,130,91
2022 Ford Mustang Mach E GT,86,48,130,91
2022 Ford Mustang Mach E GT,87,44,130,91
2022 Ford Mustang Mach E GT,87,41,130,91
2022 Ford Mustang Mach E GT,88,40,130,91
2022 Ford Mustang Mach E GT,89,39,130,91
2022 Ford Mustang Mach E GT,90,38,130,91
2022 Ford Mustang Mach E GT,91,37,130,91
2022 Ford Mustang Mach E GT,92,35,130,91
2022 Ford Mustang Mach E GT,93,34,130,91
2022 Ford Mustang Mach E GT,93,33,130,91
2022 Ford Mustang Mach E GT,94,33,130,91
2022 Ford Mustang Mach E GT,95,32,130,91
2022 Ford Mustang Mach E GT,95,31,130,91
2022 Ford Mustang Mach E GT,96,30,130,91
2022 Ford Mustang Mach E GT,97,30,130,91
2022 Ford Mustang Mach E GT,98,29,130,91
2022 Ford Mustang Mach E GT,98,28,130,91
2022 Ford Mustang Mach E GT,99,17,130,91
2022 Ford Mustang Mach E GT,100,0,130,91
2021 Tesla Model Y LR,0,103,250,75
2021 Tesla Model Y LR,1,107,250,75
2021 Tesla Model Y LR,2,109,250,75
2021 Tesla Model Y LR,3,109,250,75
2021 Tesla Model Y LR,4,110,250,75
2021 Tesla Model Y LR,5,115,250,75
2021 Tesla Model Y LR,6,126,250,75
2021 Tesla Model Y LR,7,145,250,75
2021 Tesla Model Y LR,8,182,250,75
2021 Tesla Model Y LR,9,210,250,75
2021 Tesla Model Y LR,10,213,250,75
2021 Tesla Model Y LR,11,215,250,75
2021 Tesla Model Y LR,12,244,250,75
2021 Tesla Model Y LR,13,246,250,75
2021 Tesla Model Y LR,14,246,250,75
2021 Tesla Model Y LR,15,246,250,75
2021 Tesla Model Y LR,16,246,250,75
2021 Tesla Model Y LR,17,237,250,75
2021 Tesla Model Y LR,18,232,250,75
2021 Tesla Model Y LR,19,230,250,75
