"Scenario_02_(2,2,0): MCU1(O1:ON, O2:OFF); MCU2(O1:ON, O2:OFF); MCU3(OFF); MCU4(OFF)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
Init,-,System standby,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
0,T0: 00:00,M1.EV1 arrived at M1.O1; M2.EV1 arrived at M2.O1,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
1,T1: 00:01,M1.R2 closed,-,M1.R2 closed; M2.R2 closed,OFF,OFF,OFF,ON,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,ON,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
2,T2: 00:02,M1.O1 closed,M1.O1 closed; M2.O1 closed,-,ON,OFF,OFF,ON,OFF,OFF,125kW,294kW,20.1%,-,-,-,ON,OFF,OFF,ON,OFF,OFF,125kW,294kW,20.1%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
3,T3: 00:03,-,-,-,ON,OFF,OFF,ON,OFF,OFF,125kW,293kW,20.1%,-,-,-,ON,OFF,OFF,ON,OFF,OFF,125kW,293kW,20.1%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
4,T4: 00:04,M1.R3 closed,-,M1.R3 closed; M2.R3 closed,ON,OFF,OFF,ON,ON,OFF,200kW,293kW,20.1%,-,-,-,ON,OFF,OFF,ON,ON,OFF,200kW,293kW,20.1%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
5,T5: 00:05,-,-,-,ON,OFF,OFF,ON,ON,OFF,200kW,293kW,20.1%,-,-,-,ON,OFF,OFF,ON,ON,OFF,200kW,293kW,20.1%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
6,T6: 00:06,-,-,-,ON,OFF,OFF,ON,ON,OFF,200kW,292kW,20.2%,-,-,-,ON,OFF,OFF,ON,ON,OFF,200kW,292kW,20.2%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
7,T7: 00:07,M1.R4 closed,-,M1.R4 closed; M2.R4 closed,ON,OFF,OFF,ON,ON,ON,250kW,292kW,20.2%,-,-,-,ON,OFF,OFF,ON,ON,ON,250kW,292kW,20.2%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
8,T8: 00:08,-,-,-,ON,OFF,OFF,ON,ON,ON,250kW,292kW,20.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,250kW,292kW,20.3%,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
